,Product Name,Cost, Rating,Reviews,Product URL
61,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Black),599,3.8 out of 5 stars,144,www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795/ref=sr_1_66?crid=2M096C61O4MLT&keywords=bags&qid=1685206992&sprefix=ba%2Caps%2C283&sr=8-66
62,Wildcraft Casual backpack 45L (12956),"1,549",4.6 out of 5 stars,3,www.amazon.in/Wildcraft-Casual-backpack-45L-12956/dp/B0BZVCHKTD/ref=sr_1_67_mod_primary_new?crid=2M096C61O4MLT&keywords=bags&qid=1685206992&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=8-67
63,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,698,4.1 out of 5 stars,"1,282",www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1685206992&sprefix=ba%2Caps%2C283&sr=8-68
64,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,569,4.0 out of 5 stars,320,www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QM2GD/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1685206993&sprefix=ba%2Caps%2C283&sr=8-67
65,Lino Perros womens handbag,"1,389",4.1 out of 5 stars,"3,279",www.amazon.in/Lino-Perros-Womens-Floral-Peach/dp/B0B57B7KV7/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1685206993&sprefix=ba%2Caps%2C283&sr=8-68
66,Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,499,4.0 out of 5 stars,"5,758",www.amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/ref=sr_1_69?crid=2M096C61O4MLT&keywords=bags&qid=1685206993&sprefix=ba%2Caps%2C283&sr=8-69
67,MOKOBARA The Transit Backpack Laptop Bag for Men and Women,"5,999",4.5 out of 5 stars,594,www.amazon.in/Mokobara-Transit-Backpack-Laptop-Sunray/dp/B09V7R98XC/ref=sr_1_70?crid=2M096C61O4MLT&keywords=bags&qid=1685206993&sprefix=ba%2Caps%2C283&sr=8-70
68,Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Black,990,4.4 out of 5 stars,"1,772",www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0101/dp/B07G44G1DC/ref=sr_1_71?crid=2M096C61O4MLT&keywords=bags&qid=1685206993&sprefix=ba%2Caps%2C283&sr=8-71
69,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,409,4.2 out of 5 stars,"3,294",www.amazon.in/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y/ref=sr_1_72?crid=2M096C61O4MLT&keywords=bags&qid=1685206993&sprefix=ba%2Caps%2C283&sr=8-72
70,Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,589,3.7 out of 5 stars,358,www.amazon.in/Half-Moon-Waterproof-Laptop-Backpack/dp/B09QM9N1B3/ref=sr_1_73?crid=2M096C61O4MLT&keywords=bags&qid=1685206993&sprefix=ba%2Caps%2C283&sr=8-73
